"DESCRICAO","CAUSAS"
"578  HEMORRAGIA GASTROINTESTINAL","578"
"579  MA ABSORCAO INTESTINAL","579"
"580  GLOMERULONEFRITE AGUDA","580"
"581  SINDROME NEFROTICA","581"
"582  GLOMERULONEFRITE CRONICA","582"
"583  NEFRITE NEFROPATIA N ESP AGUDA OU CRONIC","583"
"584  INSUFICIENCIA RENAL AGUDA","584"
"585  INSUFICIENCIA RENAL CRONICA","585"
"586  INSUFICIENCIA RENAL NAO ESPECIFICADA","586"
"587  ESCLEROSE RENAL NAO ESPECIFICADA","587"
"588  TRANST RESULT DE FUNCAO RENAL DEFICIENTE","588"
"589  RIM PEQUENO DE CAUSA DESCONHECIDA","589"
"590  INFECCOES DO RIM","590"
"591  HIDRONEFROSE","591"
"592  CALCULOSE DO RIM E URETER","592"
"593  OUTROS TRANSTORNOS DO RIM E URETER","593"
"594  CALCULOSE DO TRATO URINARIO INFERIOR","594"
"595  CISTITES","595"
"596  OUTRAS AFECCOES DA BEXIGA","596"
"597  URETRIT N TRANSM SEXUAL E SINDR URETRAL","597"
"598  ESTENOSE DA URETRA","598"
"599  OUT AFECCOES DA URETRA E TRATO URINARIO","599"
"600  HIPERPLASIA DA PROSTATA","600"
"601  DOENCAS INFLAMATORIAS DA PROSTATA","601"
"602  OUTRAS AFECCOES DA PROSTATA","602"
"603  HIDROCELE","603"
"604  ORQUITE E EPIDIDIMITE","604"
"605  HIPERTROFIA DO PREPUCIO E FIMOSE","605"
"607  DOENCAS DO PENIS","607"
"608  OUT TRANST ORGAOS GENITAIS MASCULINOS","608"
"610  DISPLASIAS MAMARIAS BENIGNAS","610"
"611  OUTRAS DOENCAS DA MAMA","611"
"614  D INFL OVAR TR FALOP TEC CEL PELV PERIT","614"
"615  DOENC INFLAMATORIAS DO UTERO EXCETO COLO","615"
"616  DOENC INFLAMAT COLO UTERO VAGINA E VULVA","616"
"617  ENDOMETRIOSE","617"
"618  PROLAPSO GENITAL","618"
"619  FISTULAS DO TRATO GENITAL FEMININO","619"
"620  TRANST N INFL OVAR TR FALOPIO E LIG LARG","620"
"621  AFECCOES DO UTERO N CLASSIF OUTRA PARTE","621"
"622  TRANST NAO INFLAMATORIOS DO COLO UTERINO","622"
"623  TRANSTORNOS NAO INFLAMATORIOS DA VAGINA","623"
"624  TRANST NAO INFLAM DA VULVA E DO PERINEO","624"
"626  TRANST MENSTR E OUT HEMOR ANOR T GEN FEM","626"
"627  TRANST DA MENOPAUSA E DA POS-MENOPAUSA","627"
"629  OUT TRANSTORN ORGAOS GENITAIS FEMININOS","629"
"630  MOLA HIDATIFORME","630"
"631  OUTROS PRODUTOS ANORMAIS DA CONCEPCAO","631"
"632  ABORTO RETIDO","632"
"633  GRAVIDEZ ECTOPICA","633"
"634  ABORTO ESPONTANEO","634"
"635  ABORTO INDUZIDO C INDIC ADIMIT LEGALMENT","635"
"636  ABORTO INDUZIDO S INDIC ADMITI LEGALMENT","636"
"637  ABORTO NAO ESPECIFICADO","637"
"638  TENTATIVA DE ABORTO MALOGRADA","638"
"639  COMPLIC DE ABORTO GRAVID ECTOPIC E MOLAR","639"
"640  HEMORRAGIA DO INICIO DA GRAVIDEZ","640"
"641  HEMOR ANTEPART DESC PREM PLAC E PLAC PRV","641"
"642  HIPERTENSAO COMPL GRAVIDEZ PARTO E PUERP","642"
"643  VOMITOS EXCESSIVOS NA GRAVIDEZ","643"
"644  TRABALHO DE PARTO PREMATURO OU FALSO","644"
"645  GRAVIDEZ PROLONGADA","645"
"646  OUTRAS COMPLICACOES DA GRAVIDEZ NCOP","646"
"647  D INFEC P MAE CL OUT PART COMPL GRAV P P","647"
"648  OUT AFEC MAE CL OUT PART COMPL GRAV P P","648"
"651  GESTACAO MULTIPLA","651"
"652  MA POSICAO MA APRESENTACAO DO FETO","652"
"653  DESPROPORCAO","653"
"654  ANORMALID ORGAOS TECIDOS MOLES DA PELVE","654"
"655  ANORM FET CONFIRM OU SUSP AFET COND MAE","655"
"656  OUT PROBL FET PLACEN QUE AFET CONDUT MAE","656"
"657  POLIHIDRAMNIO","657"
"658  OUT PROBL ASSOC CAVIDAD AMNIOTIC E MEMBR","658"
"659  OUT INDIC ASSIST INTERV REL T PARTO NCOP","659"
"660  TRABALHO DE PARTO OBSTRUIDO","660"
"661  ANORMAL CONTRACAO UTERINA EM TRAB PARTO","661"
"662  TRABALHO DE PARTO PROLONGADO","662"
"663  COMPLICACOES DO CORDAO UMBILICAL","663"
"664  TRAUMA DO PERINEO E DA VULVA DUR O PARTO","664"
"665  OUTROS TRAUMAS OBSTETRICOS","665"
"666  HEMORRAGIA POS-PARTO","666"
"667  RETENC PLACENTA OU MEMBRANAS SEM HEMORR","667"
"668  COMPLIC ADMIN ANEST OUT SED NO TRAB PART","668"
"669  OUT COMPL TRABALHO PARTO E PARTO NCOP","669"
"670  INFECCAO PUERPERAL","670"
"671  COMPLIC SIST VENOS OCOR GRAVIDEZ E PUERP","671"
"672  HIPERTERMIA ORIG DESCONH OCOR DUR PUERP","672"
"673  EMBOLIA PULMONAR OBSTETRICA","673"
"674  OUT COMPL PUERPERIO NAO ESPECIFIC E NCOP","674"
"675  INFEC MAMA E DO MAMILO ASSOC COM O PARTO","675"
"676  OUT AFEC MAMA ASSOC PARTO E TRANST LACT","676"
"680  FURUNCULO","680"
"681  CELULITE E ABSCESSO DOS DEDOS MAO E PE","681"
"682  OUTRAS CELULITES E ABSCESSOS","682"
"683  LINFADENITE AGUDA","683"
"684  IMPETIGO","684"
"685  CISTO PILONIDAL","685"
"686  OUT INFEC LOCALIZ PELE E TEC CELUL SUBC","686"
"690  DERMATOSES ERITEMATODESCAMATIVAS","690"
"691  DERMATITE ATOPICA E AFECCOES AFINS","691"
"692  DERMATITE DE CONTATO E OUTROS ECZEMAS","692"
"693  DERMATITE DEVIDA A SUBSTANCIAS INGERIDAS","693"
"694  DERMATOSES BOLHOSAS","694"
"695  AFECCOES ERITEMATOSAS","695"
"696  PSORIASE E TRANSTORNOS AFINS","696"
"697  LIQUEN","697"
"698  PRURIDO E AFECCOES AFINS","698"
"700  CALOS E CALOSIDADES","700"
"701  OUT AFEC HIPERTROFIC E ATROFICAS DA PELE","701"
"702  OUTRAS DERMATOSES","702"
"703  DOENCAS DAS UNHAS","703"
"704  DOENCAS DOS PELOS E FOLICULOS PILOSOS","704"
"705  TRANSTORNOS DAS GLANDULAS SUDORIPARAS","705"
"706  DOENCAS DAS GLANDULAS SEBACEAS","706"
"707  ULCERA CRONICA DA PELE","707"
"708  URTICARIA","708"
"709  OUT TRANST PELE E TECIDO CELULAR SUBCUT","709"
"710  DOENCAS DIFUSAS DO TECIDO CONJUNTIVO","710"
"711  ARTROPATIAS ASSOCIADAS A INFECCOES","711"
"712  ARTROPATIAS POR DEPOSICAO DE CRISTAIS","712"
"714  ARTR REUMAT E OUTRAS POLIARTROPAT INFLAM","714"
"715  OSTEOARTROSE E TRANSTORNOS AFINS","715"
"716  OUT ARTROPATIAS E AS NAO ESPECIFICADAS","716"
"717  DESARRANJOS INTERNOS DO JOELHO","717"
"718  OUTROS DESARRANJOS DAS ARTICULACOES","718"
"719  OUT TRANS ARTICULARES E OS N ESPECIFICAD","719"
"720  ESPONDIL ANQUIL OUT ESPONDILOPAT INFLAM","720"
"721  ESPONDILOSE E TRANSTORNOS AFINS","721"
"722  TRANSTORNOS DOS DISCOS INTERVERTEBRAIS","722"
"723  OUTROS TRANSTORNOS DA REGIAO CERVICAL","723"
"724  OUT TRANST DORSO E OS NAO ESPECIFICADOS","724"
"725  POLIMIALGIA REUMATICA","725"
"726  ENTESOPAT PERIFERICAS E SINDROMES AFINS","726"
"727  OUT TRANST SINOVIAS TENDOES E BOLS SINOV","727"
"728  TRANST DE MUSCULOS LIGAMENTOS E FASCIAS","728"
"729  OUTROS TRANSTORNOS DOS TECIDOS MOLES","729"
"730  OSTEOM PERIOST OUT INFEC ATINGEM OSSOS","730"
"731  OSTEIT DEFORM OSTEOPAT ASSOC OUT TRANST","731"
"732  OSTEOCONDROPATIAS","732"
"733  OUT TRANSTORNOS DOS OSSOS E CARTILAGENS","733"
"734  PE PLANO","734"
"735  DEFORMIDADES ADQUIRIDAS DOS ARTELHOS","735"
"736  OUT DEFORMIDADES ADQUIRIDAS DOS MEMBROS","736"
"737  DESVIO DA COLUNA VERTEBRAL","737"
"738  OUTRAS DEFORMIDADES ADQUIRIDAS","738"
"739  LESOES NAO ALOPATICAS NCOP","739"
"740  ANENCEFALIA E ANOMALIAS SIMILARES","740"
"741  ESPINHA BIFIDA","741"
"742  OUT ANOMALIAS CONGENITAS DO SIST NERVOSO","742"
"743  ANOMALIAS CONGENITAS DO OLHO","743"
"744  ANOMALIAS CONGENITAS OUVIDO FACE PESCOCO","744"
"745  ANOMAL BULBO CARD E DO FECHAM SEPT CARD","745"
"746  OUTRAS ANOMALIAS CONGENITAS DO CORACAO","746"
"747  OUT ANOMALIAS CONGEN APAREL CIRCULATORIO","747"
"748  ANOMALIAS CONGENITAS APAREL RESPIRATORIO","748"
"749  FISSURA ABOBADA PALATINA E LABIO LEPORIN","749"
"750  OUT ANOM CONG DA PARTE SUP TUBO DIGESTIV","750"
"751  OUT ANOMALIAS CONGENITAS APARELHO DIGEST","751"
"752  ANOMALIAS CONGENITAS DOS ORGAOS GENITAIS","752"
"753  ANOMALIAS CONGENITAS APARELHO URINARIO","753"
"754  ALGUMAS DEFORMID OSTEOMUSCULARES CONGEN","754"
"755  OUTRAS ANOMALIAS CONGENITAS DOS MEMBROS","755"
"756  OUTRAS ANOMAL OSTEOMUSCULARES CONGENITAS","756"
"757  ANOMALIAS CONGENITAS DO TEGUMENTO","757"
"758  ANOMALIAS CROMOSSOMICAS","758"
"759  OUTRAS ANOMAL CONGENITAS E NAO ESPECIF","759"
"760  AFEC MAT N OBR REL GRAV ATU AF FET OU RN","760"
"761  COMPL MATERNAS GRAVIDEZ AFET FETO OU RN","761"
"762  COMPL PLACENT CORD UMBIL AFET FETO OU RN","762"
"763  OUT COMP TRAB PAR OU PAR AFET FETO OU RN","763"
"764  CRESC FETAL RETARDADO MALNUTRICAO FETAL","764"
"765  TRANS GES CURT DUR PES BAIX NASC TIP N E","765"
"766  TRANST REL GEST PROLONGAD E PESO ELEVADO","766"
"767  TRAUMATISMO OCORRIDO DURANTE NASCIMENTO","767"
"768  HIPOXIA INTRA-UTERINA ASFIXIA AO NASCER","768"
"769  SINDROME DE ANGUSTIA RESPIRATORIA","769"
"770  OUTRAS AFECCOES RESPIR FETO E RECEM-NASC","770"
"771  INFECCOES ESPECIFICAS PERIODO PERINATAL","771"
"772  HEMORRAGIA FETAL E NEONATAL","772"
"773  DOEN HEMOLIT DO FETO OU RN DEV ISOIMUNIZ","773"
"774  OUTRAS ICTERICIAS PERINATAIS","774"
"775  DISTURB ENDOCRINO METABOL ESPEC FETO RN","775"
"776  TRANSTORNOS HEMATOLOGICOS DO FETO E RN","776"
"777  TRANSTORNOS PERINATAIS APARELHO DIGESTIV","777"
"778  AFEC COMP TEGUM REGUL TERMICA FETO E RN","778"
"779  OUT AFEC E MAL DEF ORIGIN PERIOD PERINAT","779"
"780  SINTOMAS GERAIS","780"
"781  SINT REL SISTEMA NERVOSO E OSTEOMUSCULAR","781"
"782  SINT REL PELE OUT TECIDOS DO TEGUMENTO","782"
"783  SINT REL NUTRICAO METABOLISMO E DESENVOL","783"
"784  SINT RELATIVOS A CABECA E AO PESCOCO","784"
"785  SINT RELATIVOS  APARELHO CARDIOVASCULAR","785"
"786  SINT REL AP RESPIRAT OUT SINT TORACICOS","786"
"787  SINTOMAS RELATIVOS AO APARELHO DIGESTIVO","787"
"788  SINTOMAS RELATIVOS AO APARELHO URINARIO","788"
"789  OUT SINT RELATIVOS AO ABDOMEN E A PELVE","789"
"790  ACHADOS NAO ESPECIFIC AO EXAME DO SANGUE","790"
"797  SENILIDADE SEM MENCAO DE PSICOSE","797"
"798  MORTE SUBITA DE CAUSA DESCONHECIDA","798"
"799  OUT CAUSAS MAL DEFINIDAS E DESCONHECIDAS","799"
"E800  ACID ESTR FERRO COLISAO MATERIAL RODANTE","800"
"E801  ACID ESTR FERRO COLISAO OUTRO OBJETO","801"
"E802  ACID ESTR FER DESCARRILAMEN SEM COLISAO","802"
"E803  ACID ESTR FER C EXPLOS INCENDIO OU FOGO","803"
"E804  ACID POR QUEDA DENTRO SOBRE OU DE TREM","804"
"E805  ACID GOLPE CAUSADO MAT RODANTE ESTR FERR","805"
"E806  OUT ACID ESPECIFICADOS DE ESTRADA FERRO","806"
"E807  ACID EST FERRO NATUREZA NAO ESPECIFICADA","807"
"E810  ACID TRANS COLIS VEICULO A MOTOR E TREM","810"
"E811  AC TR VEIC SAIN RETORN PIST COLIS OUT V","811"
"E812  OUT AC TRANS COLIS VEIC MOT C OUT V MOT","812"
"E813  AC TRANS COLIS VEIC MOT E OUT TIP VEICUL","813"
"E814  AC TRANS COLIS VEICULO MOTOR E PEDESTRE","814"
"E815  OUT AC TRANS COL VEIC MOTOR EM VIA PUBL","815"
"E816  AC TRANS PERDA CONTR VEIC MOT SEM COLIS","816"
"E817  AC TRANS AO SUBIR OU DESC V MOT S COLIS","817"
"E818  OUT AC TRANS VEICULO A MOT SEM COLISAO","818"
"E819  AC TRANS VEICULO A MOTOR DE NAT N ESPEC","819"
"E820  ACID VEIC MOT P MOV S NEVE EXC DE TRANS","820"
"E821  ACID OUT VEIC ESPCIAL MOT EXC DE TRANSIT","821"
"E822  OUT AC V MOT EXC TRANS COLIS OBJ MOVIM","822"
"E823  OUT AC V MOT EXC TRANS COLIS OBJ PARADO","823"
"E824  OUT AC V MOT EXC TRANS AO SUB DESC V MOT","824"
"E825  OUT AC VEI MOT EXC TRANS OUT NAT E N ESP","825"
"E826  ACIDENTE CAUSADO POR VEICULO A PEDAL","826"
"E827  ACIDENTE CAUS POR VEICULO TRACAO ANIMAL","827"
"E828  ACIDENTE ENVOLVENDO ANIMAL MONTADO","828"
"E829  ACIDENTE DE OUTROS VEICULOS DE ESTRADA","829"
"E830  ACID DE TRANSP AGUA QUE CAUSE SUBMERSAO","830"
"E831  ACID TRANSP AGUA CAUS OUT TIPO TRAUMAT","831"
"E832  OUT FORM SUBM AFOG ACID EM TRANSP AGUA","832"
"E833  QUED ESCAD MOV FIX PORTAT EM TRANSP AGUA","833"
"E834  OUT QUED UM NIVEL A OUT EM TRANSP P AGUA","834"
"E835  OUT QUED E NAO ESPEC EM TRANSP POR AGUA","835"
"E836  ACID MAQUINAR OCORR EM TRANSP POR AGUA","836"
"E837  ACID EXPL INCEND FOGO EM TRANSP POR AGUA","837"
"E838  OUT AC E N ESPEC OCOR EM TRANSP POR AGUA","838"
"E840  ACID AERON MOTOR DURANTE DECOL OU ATERR","840"
"E841  OUT ACID OU NAO ESPECIFIC AERONAVE MOTOR","841"
"E842  ACIDENTE DE AERONAVE NAO MOTORIZADA","842"
"E843  QUED OCOR DENTRO DE SOBRE OU DE AERONAVE","843"
"E844  OUT ACID ESPECIFICAD DE TRANSPORT AEREO","844"
"E845  ACIDENTE DE NAVE ESPACIAL","845"
"E846  AC V MOT US INTER EDIFIC INDUSTR COMERC","846"
"E847  ACID VEIC TRAC CABO EXC MOV SOBRE TRILH","847"
"E848  ACIDENTES DE OUTROS VEICULOS NCOP","848"
"E850  INTOX ACID ANALG ANTIPIRET E ANTI-REUMAT","850"
"E851  INTOXICACAO ACIDENTAL POR BARBITURICOS","851"
"E852  INTOX ACIDENTAL POR OUT SEDAT E HIPNOT","852"
"E853  INTOXICACAO ACIDENTAL P TRANQUILIZANTES","853"
"E854  INTOX ACID POR OUT AGENTES PSICOTROPICOS","854"
"E855  INTOX ACID OUT DROGAS ACAO SNC E SN AUT","855"
"E856  INTOXICACAO ACIDENTAL POR ANTIBIOTICOS","856"
"E857  INTOX ACIDENTAL P SUBST ANTIINFECCIOSAS","857"
"E858  INTOXICACAO ACIDENTAL POR OUTRAS DROGAS","858"
"E860  INTOXICACAO ACIDENTAL POR ALCOOL NCOP","860"
"E861  INTOXICACAO ACIDENTAL POR SUBST LIMPEZA","861"
"E862  INTOX AC DER PETROL OUT SOLV E VAP NCOP","862"
"E863  INTOX AC PREP QUI AGRIC HORT EX ADU FERT","863"
"E864  INTOX ACID SUBST CORROS E CAUSTIC NCOP","864"
"E865  INTOX ACIDENT ALIMENTOS E PLANTAS VENEEN","865"
"E866  INTOX ACID OUT SUBS SOL E LIQ E NAO ESP","866"
"E867  INTOXICACAO ACIDENTAL POR GAS DE RUA","867"
"E868  INTOX AC OUT GAS ILUM MONOX CARB OUT FON","868"
"E869  INTOX ACID POR OUTROS GASES E VAPORES","869"
"E870  CORTE PUNCAO PERFURAC HEMOR DURANTE CUID","870"
"E871  OBJ ESTRANHO DEIXADO NO CORPO DUR PROCED","871"
"E872  FALHA DE ESTERILIZACAO DURANTE PROCEDIM","872"
"E873  ERROS DE DOSAGEM","873"
"E874  FALH MECAN INSTRUM APAR DURANTE PROCEDIM","874"
"E875  ADM SANG LIQ MEDIC SUBST BIOL IFEC CONT","875"
"E876  OUTROS ACID E N ESP DURANTE CUIDADOS MED","876"
"E878  REAC ANORM COMP TARD INTERV CIRURG S MEN","878"
"E879  REAC ANORM COMPL TARD POR PROCED S MENC","879"
"E880  QUEDA EM OU DE ESCADA OU DEGRAUS","880"
"E881  QUEDA EM OU DE ESCADA DE MAO E ANDAIMES","881"
"E882  QUEDA DE OU FORA DE EDIFIC OU OUT CONSTR","882"
"E883  QUEDA EM BURACO OU OUT ABERTUR EM SUPERF","883"
"E884  OUTRAS QUEDAS DE UM NIVEL A OUTRO","884"
"E885  QUED MESM NIV ESCORREG TROPEC OU TRASPES","885"
"E886  QUEDA MESMO NIVEL P COLISAO OU EMPURRAO","886"
"E887  FRATURA DE CAUSA NAO ESPECIFICADA","887"
"E888  OUTRAS QUEDAS OU NAO ESPECIFICADAS","888"
"E890  INCENDIO EM HABITACAO PARTICULAR","890"
"E891  INCEND OUT EDIF OU OUT CONSTRUCAO E N ES","891"
"E892  INCENDIO EXC EM EDIFICIO OU OUT CONSTRUC","892"
"E893  ACIDENTE CAUSADO POR COMBUST DAS VESTES","893"
"E894  COMBUSTAO MATERIAL ALTAMENTE INFLAMAVEL","894"
"E895  ACID FOGO CONTROLADO EM HABIT PARTICULAR","895"
"E896  AC FOGO CONTROL OUT EDIFIC CONSTR E N ES","896"
"E897  AC FOGO CONTROL EXC EM EDIF OUT CONSTRUC","897"
"E898  ACID CAUS OUT FOGOS CHAMAS ESPECIFICADOS","898"
"E899  ACIDENTE CAUSADO POR FOGO N ESPECIFICADO","899"
"E900  CALOR EXCESSIVO","900"
"E901  FRIO EXCESSIVO","901"
"E902  PRESS ATM ALTA E BAIXA E VARIAC PRES ATM","902"
"E903  VIAGEM E MOVIMENTO","903"
"E904  FOME SEDE EXPOSICAO AOS ELEMENT E NEGLIG","904"
"E905  INTOX E REAC TOXIC ANIMAIS E PLANT VENEN","905"
"E906  OUTRAS LESOES CAUSADAS POR ANIMAIS","906"
"E907  RAIO","907"
"E908  TEMPEST CATAC E ENCHENTES DEV TEMPESTAD","908"
"E909  ERUPCAO MOVIM CATACLISM SUPERF TERRESTRE","909"
"E910  AFOGAMENTO E SUBMERSAO ACIDENTAIS","910"
"E911  ASPIR INGEST ALIM OBSTR TR RESPIR OU SUF","911"
"E912  ASPIR INGEST OUT OBJ SECR OBSTR TR RESP","912"
"E913  SUFOCACAO MECANICA ACIDENTAL","913"
"E914  PENETR ACID CORPO ESTRANHO OLHO E ANEXOS","914"
"E915  PENETR ACID CORPO ESTR EM OUT ORIFIC NAT","915"
"E916  IMPACT ACID CAUSADO PELA QUEDA DE UM OBJ","916"
"E917  IMPACTO ACID CONTRA OBJETOS OU PESSOAS","917"
"E918  ACID APRISIONAM DENTRO DE OU ENTRE OBJET","918"
"E919  ACIDENTES CAUSADOS POR MAQUINAS","919"
"E920  ACID OBJ OU INSTR CORTANT PENETR PERFUR","920"
"E921  ACID CAUS EXPLOSAO DE RECIP PRESSURIZADO","921"
"E922  ACIDENTE CAUSADO POR ARMA DE FOGO","922"
"E923  ACIDENTE CAUSADO POR MATERIAL EXPLOSIVO","923"
"E924  ACID OBJ SUBST QUENT VAP CAUST CORROS","924"
"E925  ACIDENTE CAUSADO POR CORRENTE ELETRICA","925"
"E926  EXPOSICAO A RADIACAO","926"
"E927  EXCESS DE EXERCIC E MOVIMENT EXTENUANTES","927"
"E928  OUT CAUSAS E NAO ESP AMBIENTAIS NATURAIS","928"
"E929  EFEITOS TARDIOS DE LESAO ACIDENTAL","929"
"E930  ANTIBIOTICOS","930"
"E931  OUTRAS SUBSTANCIAS ANTIINFECCIOSAS","931"
"E932  HORMONIOS E SUBSTITUTOS SINTETICOS","932"
"E933  SUBSTANCIAS DE ACAO PRIMARIAM SISTEMICA","933"
"E934  SUBSTANCIAS DE ACAO PRIMARIAM HEMATOLOG","934"
"E935  ANALGESICOS ANTIPIRETICOS ANTI-REUMATIC","935"
"E936  DROG ANTICOLVULSIVANTES E ANTIPARKINSON","936"
"E937  SEDATIVOS E HIPNOTICOS","937"
"E938  OUT DROG DEPRES SISTEMA NERVOSO CENTRAL","938"
"E939  AGENTES PSICOTROPICOS","939"
"E940  ESTIMULANTES DO SISTEMA NERVOSO CENTRAL","940"
"E941  DROGAS ATUAM PRIM SIST NERVOSO AUTONOMO","941"
"E942  SUBST ATUAM PRIM APARELHO CARDIOVASCULAR","942"
"E943  SUBST ATUAM PRIM APARELHO GASTROINTESTIN","943"
"E944  DROGAS AT METAB AGUA DOS MINE E AC URICO","944"
"E945  SUBST ATUAM MUSC LISA E ESTR E AP RESPIR","945"
"E946  SUB AT PEL MEMB MUC DROG OFT OTOR E DENT","946"
"E947  OUTRAS DROGAS E MEDICAM E N ESPECIFICAD","947"
"E948  VACINAS BACTERIANAS","948"
"E949  OUTRAS VACINAS E SUBSTANCIAS BIOLOGICAS","949"
"E950  SUICIDIO POR SOLIDOS OU LIQUIDOS","950"
"E951  SUICIDIO POR GAS DOMESTICO","951"
"E952  SUICIDIO POR OUTROS GASES E VAPORES","952"
"E953  SUICIDIO ENFORCAM ESTRANGUL SUFOCACAO","953"
"E954  SUICIDIO POR SUBMERSAO (AFOGAMENTO)","954"
"E955  SUICIDIO POR ARMA DE FOGO E EXPLOSIVOS","955"
"E956  SUICIDIO POR INSTRUMENTO CORTANT PENETR","956"
"E957  SUICIDIO POR PRECIPITACAO LUGAR ELEVADO","957"
"E958  SUICIDIO OUTROS PROCEDIMENTOS E N ESPEC","958"
"E959  EFEITOS TARDIOS LESOES AUTO-INFLIGIDAS","959"
"E960  LUTA BRIGA E VIOLACAO","960"
"E961  ATAQUE SUBST CORROSIV OU CAUST EXC ENVEN","961"
"E962  ENVENENAMENTO INTENCION PROV OUT PESSOA","962"
"E963  HOMICIDIO ESTRANGULAMENTO E ENFORCAMENTO","963"
"E964  HOMICIDIO POR SUBMERSAO (AFOGAMENTO)","964"
"E965  ATAQUE COM ARMAS DE FOGO OU EXPLOSIVO","965"
"E966  ATAQUE COM INSTRUMEN CORTANTE PENETRANTE","966"
"E967  SINDR CRIAN ESPANC E OUT FORM MAUS TRAT","967"
"E968  ATAQUE OUT PROCED ESPECIFIC E N ESPECIF","968"
"E969  EFEITOS TARD LES INFL INTENC OUT PESSOA","969"
"E970  LESAO P INTERVENCAO LEGAL ARMAS DE FOGO","970"
"E971  LESAO P INTERVENCAO LEGAL COM EXPLOSIVOS","971"
"E972  LESAO POR INTERVENCAO LEGAL COM GAS","972"
"E973  LES P INTERV LEGAL COM OBJ CONTUNDENTE","973"
"E974  LES INTERV LEG INSTR CORTAN E PENETRANTE","974"
"E975  LES INTERVENCAO LEGAL C OUT MEIOS ESPEC","975"
"E976  LESAO INTERVENCAO LEGAL MEIOS N ESPECIF","976"
"E977  EFEITOS TARDIOS LES INFLIG INTERV LEGAL","977"
"E978  EXECUCAO LEGAL","978"
"E980  ENVEN SOLID LIQUID IGN ACID OU INTENCION","980"
"E981  ENVEN GAS DOMEST IGN ACID OU INTENCIONAL","981"
"E982  ENVEN OUT GASES IGN ACID OU INTENCIONAL","982"
"E983  LES ENFORC ESTRANG SUFOC IG ACID OU INT","983"
"E984  LESAO SUBMERSAO IGN ACID OU INTENCIONAL","984"
"E985  LESAO ARMA FOGO E EXPLOS IG ACID OU INT","985"
"E986  LES INSTR CORT PENETR IG ACID OU INTENC","986"
"E987  LES DEV QUEDA LUG ELEVADO IG ACID OU INT","987"
"E988  LES OUT MEIOS E N ESPEC IG ACID OU INTEN","988"
"E989  EFEITOS TARD LESAO IG ACID OU INTENCION","989"
"E990  LESAO OPERACAO DE GUERRA FOGO E INCENDIO","990"
"E991  LESAO BALAS FRAGMENT OPERACOES DE GUERRA","991"
"E992  LES EXPL ARMAM NAVAL OPERACOES DE GUERRA","992"
"E993  LES OUT EXPLOSOES EM OPERACOES DE GUERRA","993"
"E994  LES DESTRUICAO DE AERONAVE EM OPER GUERR","994"
"E995  LES OUT MEIOS OU N ESP OP GUERRA CONVENC","995"
"E996  LES ARMA NUCLEAR EM OPERACOES DE GUERRA","996"
"E997  LES OUT FORM GUERRA NAO CONVENCIONAL","997"
"E998  LES OP GUERRA OCORR APOS CESSACAO HOSTIL","998"
"E999  EFEIT TARDIOS DE LES OPERACAO DE GUERRA","999"
